"135","DeSean Jackson","WR","FA","0","-","-","-","-","-","-","-","1.5","4.4","14.7","12.6","12","4.3","21.3","4","-","8.3","74.8"
"136","Jamison Crowder","WR","WAS","0.2","0.7","6.5","6.5","8.7","4","4.8","BYE","5","12","0.5","1.2","2.9","1.3","0.1","3.3","16.9","4.7","74.6"
"137","New Orleans Saints","DST","NO","1","7","1","4","0","18","10","1","1","-1","BYE","3","12","2","1","6","7","4.6","73"
"138","Jimmy Graham","TE","FA","11.1","1.1","14.3","2.9","3","14","3.1","7.5","-","4.1","3.9","7.5","-","-","-","-","-","6.6","72.5"
"139","Robert Woods","WR","HOU","2.7","12","3.8","1.3","0.6","4.7","14.4","-","0","1.9","4.4","2.5","7.9","10.6","4.4","-","-","5.1","71.2"
"140","Carlos Hyde","RB","FA","30.2","6.1","6.1","2.2","15.7","6","4","-","-","-","-","-","-","-","-","-","-","10","70.3"
"141","Marshawn Lynch","RB","FA","12.4","6.2","2.3","-","-","11.4","18.2","8.2","-","11","-","-","-","-","-","-","-","10","69.7"
"142","DeVante Parker","WR","FA","0","0.3","4.6","0","-","0","0","0","-","-","0","14","12.3","1.6","8.7","9.3","16.6","4.8","67.4"
"143","San Francisco 49ers","DST","SF","14","-4","-1","4","1","5","10","3","3","BYE","2","2","10","7","6","1","2","4.1","65"
"143","Nick Folk","K","TEN","7","9","7","10","-","10","13","9","0","-","-","-","-","-","-","-","-","8.1","65"
"145","Dwayne Harris","WR","FA","1.1","0","0","11.1","7.2","1.8","4.3","15.7","0.1","14.2","-","2.9","0.8","4.1","0.9","0.6","-","4.3","64.8"
"146","Dontrelle Inman","WR","FA","-","0","0","8.8","0","7.8","2.6","1","0.8","-","5.1","12.5","1.5","-","7.8","14.2","2.5","4.6","64.6"
"147","Jerick McKinnon","RB","FA","2.8","0.6","1.8","0.6","-","0.2","3.7","1.8","1.1","0.7","1.5","3.3","2.4","0.8","14.6","21.7","4.8","3.9","62.4"
"148","Kenny Stills","WR","FA","1.2","0.8","0","14.1","-","4.6","0","5.8","7.4","0","11.2","1.2","0","10.9","2.3","1.4","1.1","3.9","62"
"149","Albert Wilson","WR","FA","2.5","0","0","-","-","11.7","7.1","1.2","-","1.6","5.6","3.3","2.2","14.7","3.5","3.9","2.4","4.3","59.7"
"150","Mohamed Sanu Sr.","WR","FA","3.4","1.5","3.4","8.4","6.9","3.8","-","1","11","0.5","2.1","0.8","0.7","2.4","1","9.9","1.7","3.7","58.5"
"151","Chris Thompson","RB","FA","1.1","1","14.6","7.7","4.8","3.8","-","-","2.1","7.7","1.7","1.6","2.4","-","-","7.2","1.9","4.4","57.6"
"152","Chris Hogan","WR","FA","0","1.1","10.2","4.3","11.4","3.1","5.6","-","0","0","9.5","3.4","1.2","2","1.3","3.9","0.6","3.6","57.6"
"153","Kyle Juszczyk","RB","SF","1.7","1.1","1.1","0.3","9.1","2.2","7.5","3.9","-","4.7","1.3","1.8","-0.2","0","8.6","5.5","7.8","3.5","56.4"
"154","Davante Adams","WR","NYJ","5.9","3.3","0","-","BYE","-","-","0.8","11.3","7.9","3.6","1.4","8.1","1.2","3.2","4.2","5.4","4.3","56.3"
"155","AJ McCarron","QB","FA","-","-","-","-","-","-","-","-","-0.2","-","-","0.1","0.8","16","11.9","12.1","14.6","7.9","55.3"
"156","Brandon Bolden","RB","FA","1.3","0.3","0","-","0","0","-","0","9.9","-0.3","1.5","15.5","2.4","5.1","5.4","6","3.6","3.4","50.7"
"157","Vance McDonald","TE","FA","0.5","0","-","0.7","0.9","1","0.1","1.3","1.9","-","12.5","13.1","1.8","-","1","12.1","3.7","3.6","50.6"
"158","Darren Fells","TE","FA","14.2","0","1.3","1.7","8.5","0.9","-","-","-","2.1","7.8","0","2.2","4.3","5.4","0","0.7","3.5","49.1"
"159","Jared Cook","TE","FA","8.5","4.7","0.7","2.2","0.8","-","-0.1","7.7","1","3.5","3.1","5.8","2.2","1.1","6.4","0.5","0","3","48.1"
"160","Cameron Brate","TE","FA","-","-","0","0.7","0","-","0.6","10.8","1.7","0.6","10.7","11.3","1.2","1.6","2","4.6","1","3.3","46.8"
"161","Case Keenum","QB","HOU","-","-","-","-","-","-","-","-","BYE","0","5.4","-","-","3.2","17.1","8.5","9.4","7.3","43.6"
"162","Tevin Coleman","RB","FA","8","9.2","-","-","0.3","2","1.4","2.1","0.3","-","2.8","9","1.7","1.5","2.3","-","-","3.4","40.6"
"163","J.J. Nelson","WR","FA","0","-2","-","-","-","-","0","7","-","-","20.2","5.3","9.4","0","0","0","0","3.6","39.9"
"164","Vernon Davis","TE","FA","4.7","6.2","0","-","-","0","6.1","2.4","0","1.9","6.8","1","2.5","7.4","0.5","0","0","2.6","39.5"
"165","Ryan Grant","WR","FA","1.5","4.5","0.9","4.5","0.4","2.2","11.4","-","0","0","0","1.9","0","0","1.3","2.4","7.8","2.4","38.8"
"166","Ryan Griffin","TE","FA","1.8","-","-","-","-","-","-","-","-","3.6","0.6","13.2","8.9","2","3","1.3","2.7","4.1","37.1"
"167","Jay Ajayi","RB","FA","-","-","-","-","-","-","-","-","4.1","4.8","3.6","5.8","3.2","1.5","10.2","2.3","0.2","4","35.7"
"168","Maxx Williams","TE","FA","1.5","0.8","4.4","1.7","0","2.4","-","0","-","10","2","0","-","0","3.1","1.6","5.3","2.3","32.8"
"169","Nelson Agholor","WR","BAL","0.5","3.1","0","4.4","0.5","-","-","-","BYE","3.2","1.1","1.5","0","12.2","0","3.5","2.3","2.5","32.3"
"170","Adam Humphries","WR","FA","1.4","0","-","0","-","-","-","1.4","5.5","2.5","5","2","0.6","6.6","6","1","0","2.5","32"
"171","Phillip Dorsett II","WR","ATL","2.5","2.5","10.3","1.1","0.9","3","0.8","-","-","BYE","-","-","-","0","0.1","3.1","3.9","2.6","28.2"
"172","Nick Williams","WR","FA","0.5","1.2","0.6","0.8","1.3","1.1","4.3","-","0","-","-","7.6","6.5","4","0","0","0","2","27.9"
"173","Luke Willson","TE","FA","0","3.6","-","1.5","1.7","1.6","0","10.1","-","0","1.5","1.2","3.6","0.8","1.7","0","-","2","27.3"
"174","Ty Montgomery II","RB","FA","0","3.7","7.4","2.5","11.9","1.5","-","-","-","-","-","-","-","-","-","-","-","4.5","27"
"175","Matt Schaub","QB","FA","-","-","-","-","-","-","-","-","-","-","-","14.3","12.3","-","-","-","-","13.3","26.6"
"176","Chris Conley","WR","SF","0","0","1.6","5.3","0.6","1.6","12.3","0.6","-","0","1.7","0","0","0","0","0","2.2","1.6","25.9"
"177","Damien Williams","RB","FA","0.3","8","2.2","0.1","-","0.5","0.9","0","0","0","0","1","0.6","1.1","1.2","3.3","4.9","1.5","24.1"
"177","Taylor Gabriel","WR","FA","2","-0.3","2.8","4.2","7.5","0.5","-0.5","3.2","0.3","2.6","-","-","-","-","1.8","0","0","1.9","24.1"
"179","Josh Hill","TE","FA","0","0.2","1","7.1","0","3.8","0","0.5","8.1","0","-","0","1.1","0.6","0","1.2","0.4","1.5","24"
"180","Adam Thielen","WR","CAR","0","0","1.6","7","BYE","0","3","0","0","1.4","0","0","0","0.7","0.8","0.5","8.3","1.5","23.3"
