"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"28","Julio Jones","WR","FA","18","6.4","9.6","17.3","6.2","14.4","8.4","-","18.1","16.7","17.8","12.8","1.8","22.6","14.2","8.8","19.8","13.3","212.9"
"29","Matthew Stafford","QB","LAR","8","24.7","17.5","20.8","15.2","-","17.6","17","6.6","15.9","13.4","5.4","10","4.7","12.3","4.6","18.4","13.3","212.2"
"30","Josh Allen","QB","BUF","5.6","13","27.7","1.9","9.2","5.4","-","-","-","-","BYE","26.3","28.7","18.3","19.8","11.7","40.5","17.3","208.1"
"31","Kareem Hunt","RB","KC","4.9","14","16.4","23.5","15.4","24.5","32.1","14.6","32.1","9.6","17.1","BYE","-","-","-","-","-","18.6","204.2"
"32","Joe Mixon","RB","HOU","20.9","8.7","-","-","17.5","14.4","5.1","25.8","-","8.5","11.2","15.5","9.5","19.8","25","7.8","10.7","14.3","200.4"
"33","Mike Evans","WR","TB","20.7","12.3","19.7","5.9","BYE","5.8","10.7","23.9","1.6","5.1","18","11.6","4.8","8.6","12.1","15","22.6","12.4","198.4"
"34","David Johnson","RB","FA","12.7","5.1","12.1","15.2","19.1","10.9","7","10","-","30.3","15.4","7.9","7.2","6.1","16.1","12.7","8.8","12.3","196.6"
"35","Jameis Winston","QB","CLE","-","-","-","6.5","-","30.7","20.1","8.8","-","-","15.6","22.9","22.8","19.2","4.3","14.8","30.1","17.8","195.8"
"36","Adam Thielen","WR","CAR","10.2","19.1","10.5","19.5","17.6","18.3","17","15.8","8.7","-","8.6","18.5","8.8","7.8","1.9","8.3","3.7","12.1","194.3"
"37","Carson Wentz","QB","KC","-","-","11.2","20.7","21","24.5","18.7","22.6","-","21.1","0.8","13.2","19.8","18.8","-","-","-","17.5","192.7"
"38","Travis Kelce","TE","KC","0.6","22.9","11.4","13.8","10","6.1","9.5","13.9","21.9","4.6","18.7","BYE","26.8","13.7","6.1","5.4","6.2","12","191.6"
"39","Michael Thomas","WR","FA","22","18.9","12.9","4.7","7.4","-","12.9","8.1","27.1","19","15.2","3.8","4","9.8","4.9","16.9","2.9","11.9","190.5"
"40","Chicago Bears","DST","CHI","14","17","13","14","BYE","5","6","5","28","12","15","13","5","20","8","7","8","11.9","190"
"41","James White","RB","FA","11.6","8.4","11.1","23.2","13.7","9.2","21.7","15.4","22.3","2.6","-","7.8","11.8","2.8","3.7","11.4","12.9","11.9","189.6"
"42","Phillip Lindsay","RB","FA","16.2","11.1","2","13.9","8.1","6.6","15.6","17.2","8.4","-","22.6","17","27.9","11.1","4.4","5.7","-","12.5","187.8"
"43","JuJu Smith-Schuster","WR","KC","11.9","18.1","11.6","6","9.4","13.1","-","3.3","7.8","16.3","10.4","24.9","4.9","25","4","9.5","9.7","11.6","185.9"
"44","Derrick Henry","RB","BAL","3.1","5.9","5.7","3.1","5.6","2.6","12.5","-","9.2","17.8","4.6","2.9","10.5","47.8","29.2","14.5","10.6","11.6","185.7"
"45","Chris Carson","RB","FA","5.9","2.4","18.4","-","12.7","5.9","-","18.4","4","-","12.3","12.3","10.8","15","20.8","23.6","18.9","13","181.4"
"46","Robert Woods","WR","HOU","4.3","8.1","23.7","16.1","14.5","12.1","8.4","7","7.5","10.6","13.2","-","13.8","6.1","9.3","22.4","2.5","11.2","179.6"
"47","Marcus Mariota","QB","WAS","1.6","-","9.1","30.4","4.2","7.2","15.3","-","22.8","21.3","3.1","22.9","21.6","5.8","4.6","5.1","-","12.5","174.9"
"48","Andy Dalton","QB","CAR","16.5","26.6","14.1","24.8","12.9","17.2","7.9","20.2","-","6.9","19.3","8.1","-","-","-","-","-","15.9","174.5"
"48","Nick Chubb","RB","CLE","2.1","1.4","0.6","22.5","0.2","2.5","14","7.5","15","32.9","BYE","24.8","13.2","14.3","10","11.5","2","10.9","174.5"
"50","Blake Bortles","QB","FA","13.2","32.5","8.9","24.3","20.6","10.2","1.4","19.7","-","21.6","3.9","9","-","-","-","4.1","3.8","13.3","173.2"
"51","George Kittle","TE","SF","9","2.2","9.9","18.5","8.3","3","15.8","5.7","16.8","8.3","BYE","5.8","7","27","5.1","7.4","20.9","10.7","170.7"
"52","Ka'imi Fairbairn","K","HOU","9","5","12","14","13","8","10","6","8","BYE","13","12","21","3","22","6","8","10.6","170"
"53","Adrian Peterson","RB","FA","20.6","5","24","-","4.2","9.7","10.7","25.6","3.3","6.9","17.1","4.4","15.8","1.9","7.1","12.7","0","10.6","169"
"54","Sam Darnold","QB","MIN","13.8","13.5","2.8","11.5","18.4","18","12","12.3","1.2","BYE","-","-","-","9.8","21.6","26","7.5","13","168.4"
"55","Ryan Fitzpatrick","QB","FA","42.3","30","25.1","3","-","-","-","19.6","24","13.7","8.1","-","-","-","-","-","-","20.7","165.8"
"56","Tyler Lockett","WR","SEA","11.9","12","14.2","5.3","16.4","8","BYE","10.7","2.2","14.5","7.2","16.5","12.2","5.9","5.6","9.9","12.9","10.3","165.4"
"57","Zach Ertz","TE","WAS","4.8","9.4","7.3","11.2","17","10.3","13.8","8.6","-","26.5","1.5","15.1","8.3","3.8","2.2","23","1.5","10.3","164.3"
"58","Stefon Diggs","WR","HOU","11.1","26.9","1.7","12.3","11.6","4.2","2.6","17.9","-","BYE","18.6","14.9","4.9","8.1","11.8","7","10.7","11","164.3"
"59","Brandin Cooks","WR","DAL","9.3","15.9","9","18.6","0","5.3","13.1","8.3","17.4","16.9","10.7","-","6.2","2.2","5.9","6.2","18.2","10.2","163.2"
"60","Keenan Allen","WR","CHI","16.8","6.7","2.4","6.3","9.5","10.3","7.2","-","15.2","11.7","15","13.2","22.8","13.8","0","5.8","6.4","10.2","163.1"
"61","T.Y. Hilton","WR","FA","10.6","14.3","5","11.5","-","-","14.5","3.4","-","7.7","27.5","12.5","7.7","19.9","8.5","13.8","6.1","11.6","163"
"62","Tarik Cohen","RB","FA","4.1","2.5","6.8","23.4","-","16.1","14.3","17","1.3","10.4","3","11.9","22.6","8.9","9.5","1.9","9.2","10.2","162.9"
"63","Tevin Coleman","RB","FA","10.5","12.5","10.7","7.7","3","10.1","14.2","-","27.6","6.3","8.5","8.3","1.1","4.1","20.5","5.1","11.4","10.1","161.6"
"64","Marlon Mack","RB","FA","-","3.6","-","-","-","9.3","29.9","26.9","-","5.8","12.9","9.6","3.3","9.3","24.9","9.8","15.8","13.4","161.1"
"65","Jordan Howard","RB","FA","10.7","6.8","14.1","2.5","-","4.9","10.8","14.1","16.7","3.2","6.5","1.5","8","10.3","13.5","13","23.4","10","160"
"65","Justin Tucker","K","BAL","12","7","13","16","10","3","5","3","10","BYE","12","11","17","6","8","12","15","10","160"
"67","Lamar Jackson","QB","BAL","4.9","0.6","0","1.7","1","2.2","7.1","8.4","1.5","BYE","15.9","20.2","16.5","18.6","16.7","16.1","26.2","9.8","157.5"
"68","Eric Ebron","TE","FA","11.1","8.6","3.3","10","22.5","13","3.1","9.7","-","25.1","0","16.5","5.2","12.5","0.8","2.8","12","9.8","156.2"
"69","Odell Beckham Jr.","WR","FA","11","5.1","10.9","7","23.4","4.4","20.2","13.6","-","19.3","14.5","8.5","15.5","-","-","-","-","12.8","153.3"
"70","Kenyan Drake","RB","FA","6.6","13","1","1.6","17.5","5.8","14.7","21.5","3.5","3.8","-","21.6","10.4","13.9","3.4","5.4","9.5","9.6","153.2"
"71","Jason Myers","K","SEA","12","9","5","6","11","27","7","5","9","6","-","9","19","10","4","8","4","9.4","151"
"71","Wil Lutz","K","DEN","6","8","15","16","8","-","6","16","11","17","12","7","4","8","7","8","2","9.4","151"
"73","Los Angeles Rams","DST","LAR","17","13","13","5","1","5","22","7","-2","5","21","BYE","9","8","1","8","16","9.3","149"
"74","Lamar Miller","RB","FA","10.9","7","9.1","4.9","-","7.1","15.9","19.3","4.8","-","10.8","22.7","11.5","11.2","0.8","-","11.6","10.5","147.6"
"75","Houston Texans","DST","HOU","8","2","4","13","7","19","14","4","5","BYE","15","9","18","4","5","6","14","9.2","147"
"75","Harrison Butker","K","KC","9","6","8","9","13","18","9","6","7","10","9","BYE","12","9","4","13","5","9.2","147"
"77","Aaron Jones Sr.","RB","MIN","-","-","4.7","14.2","5.9","4.1","-","14.6","6.5","29.2","22.3","15.3","11.2","16.6","0.8","-","-","12.1","145.4"
"78","Tyler Boyd","WR","TEN","2.6","15.1","19.7","10","4.4","18.2","2.7","19.6","-","6.5","7.1","14.5","9.7","5.2","9.8","-","-","10.4","145.1"
"79","Mason Crosby","K","FA","7","19","6","14","4","17","-","12","5","7","6","5","5","13","12","13","0","9.1","145"
